iter	RMSE
368	56740.88557
369	56271.47976
370	56150.53193
371	55986.15891
372	55533.66298
373	55416.01261
374	54813.94078
375	54711.65456
376	54553.52053
377	54124.73066
378	53970.24997
379	53870.3912
380	53296.16514
381	53198.19907
382	52898.8479
383	52749.50645
384	52452.05313
385	52356.05104
386	51958.24644
387	51810.28492
388	51421.89555
389	50951.48664
390	50815.60976
391	50688.79392
392	50314.01698
393	49860.72644
394	49735.6268
395	49294.66319
396	49170.43103
397	49067.40746
398	48562.334
399	48474.07665
400	48123.73445
401	48004.60744
402	47662.11965
403	47562.97177
404	47043.55318
405	46946.35071
406	46544.32652
407	46298.88633
408	46202.63794
409	46107.16931
410	45609.80108
411	45528.14693
412	45435.00622
413	44950.14592
414	44724.74582
415	44505.62358
416	44414.16407
417	44323.65967
418	43919.51461
419	43841.95355
420	43765.16295
421	43447.21356
422	43332.78041
423	43016.66016
424	42723.28342
425	42272.73632
426	42146.99621
427	42073.01568
428	41789.6315
429	41666.03998
430	41232.56147
431	41160.24227
432	41040.10373
433	40766.3401
434	40694.85314
435	40276.66849
436	40159.98294
437	40089.7691
438	39825.77027
439	39710.92431
440	39338.9824
441	39226.6058
442	39157.71903
443	38914.24369
444	38552.68535
445	38484.67092
446	38249.389
447	38181.89113
448	37853.89213
449	37748.25745
450	37403.13086
451	37336.59601
452	37112.95458
453	37047.21673
454	36711.46613
455	36495.23613
456	36325.37594
457	36260.7189
458	35961.13871
459	35897.22859
460	35577.44875
461	35372.57137
462	35212.22159
463	35149.4057
464	34930.70663
465	34621.50855
466	34319.27467
467	34108.26607
468	33813.41431
469	33560.50743
470	33372.83022
471	33311.47841
472	33129.03832
473	32846.79514
474	32786.31994
475	32558.48415
476	32364.00184
477	32099.69084
478	31832.03767
479	31644.80852
480	31391.33098
481	31143.16503
482	30949.50852
483	30760.20303
484	30575.15718
485	30394.28121
486	30208.97156
487	29960.50642
488	29758.87134
489	29701.35772
490	29518.15669
491	29270.67983
492	29213.85835
493	29036.65497
494	28815.32321
495	28641.97627
496	28406.84682
497	28351.06218
498	28098.0698
499	27931.52382
500	27685.57698
501	27527.53563
502	27306.92251
503	27252.79119
504	27094.32329
505	26859.24903
506	26682.31012
507	26470.53006
508	26267.3907
509	26096.95557
510	25935.65923
511	25738.97861
512	25540.95601
513	25488.56545
514	25436.80888
515	25288.33435
516	25076.44508
517	24891.85235
518	24760.76071
519	24618.3613
520	24454.87149
521	24398.79836
522	24343.47365
523	24204.99992
524	24016.70835
525	23967.54872
526	23833.0864
527	23779.0566
528	23661.71972
529	23613.58034
530	23560.77985
531	23513.58025
532	23466.83166
533	23346.38999
534	23300.13374
535	23254.32503
536	23199.22243
537	23061.95468
538	22908.1268
539	22863.1923
540	22818.60709
541	22774.55681
542	22590.01202
543	22441.15693
544	22387.84276
545	22335.30831
546	22218.32323
547	22170.63533
548	22056.16013
549	21999.73425
550	21953.35238
551	21827.93281
552	21786.61551
553	21745.70447
554	21600.18555
555	21559.61415
556	21396.57731
557	21274.3766
558	21165.48528
559	21112.60367
560	21073.14885
561	20935.71334
562	20831.4464
563	20792.45156
564	20753.81084
565	20632.36141
566	20531.08897
567	20435.38296
568	20323.4365
569	20225.93184
570	20187.95875
571	20141.69864
572	20033.26059
573	19987.59752
574	19881.2944
575	19844.5916
576	19753.61394
577	19660.70907
578	19558.05916
579	19513.49555
580	19423.52533
581	19387.5011
582	19343.86821
583	19237.83494
584	19070.17148
585	18926.66761
586	18765.1232
587	18722.72379
588	18565.44245
589	18437.96279
590	18342.48217
591	18260.05168
592	18225.186
593	18183.84182
594	18033.28407
595	17998.99674
596	17876.09609
597	17784.92389
598	17640.40088
599	17554.0423
600	17421.42581
601	17387.7756
602	17354.49759
603	17314.85419
604	17195.34659
605	17099.85482
606	16962.71946
607	16836.5499
608	16727.25532
609	16660.07387
610	16530.12852
611	16497.76632
612	16378.07966
613	16346.00088
614	16235.51083
615	16203.89215
616	16166.27962
617	16102.16652
618	16071.27076
619	15957.71589
620	15920.93401
621	15817.95867
622	15704.2393
623	15670.0506
624	15590.5858
625	15554.8972
626	15476.99906
627	15447.32207
628	15346.02289
629	15238.5417
630	15152.32983
631	15065.45519
632	15030.71873
633	15002.94314
634	14899.05307
635	14785.50739
636	14751.67793
637	14647.10147
638	14567.85628
639	14540.65364
640	14489.21831
641	14389.78668
642	14334.56029
643	14255.34553
644	14222.84234
645	14142.90337
646	14116.8111
647	14084.94317
648	13988.26937
649	13888.84025
650	13863.29296
651	13814.12031
652	13759.21383
653	13664.40149
654	13633.63961
655	13560.0331
656	13529.75043
657	13455.34594
658	13425.51229
659	13330.60559
660	13306.41616
661	13221.12925
662	13130.93287
663	13071.32028
664	13047.65993
665	12996.58183
666	12971.81696
667	12943.58928
668	12854.81924
669	12776.92903
670	12682.58928
671	12658.37293
672	12602.03595
673	12578.23205
674	12523.43192
675	12500.01121
676	12420.18752
677	12397.06828
678	12370.64715
679	12299.85528
680	12277.16012
681	12214.34976
682	12191.98893
683	12169.80516
684	12108.66333
685	12086.6936
686	12064.92883
687	12005.34665
688	11983.79723
689	11962.43602
690	11888.75218
691	11820.3584
692	11799.31361
693	11778.44203
694	11726.01227
695	11705.3606
696	11684.93435
697	11633.75878
698	11613.48356
699	11593.45262
700	11543.46597
701	11523.59299
702	11459.48898
703	11439.92252
704	11420.55542
705	11375.5177
706	11356.29903
707	11319.23652
708	11255.88892
709	11236.95031
710	11218.16881
711	11170.99533
712	11152.34711
713	11093.96931
714	11075.57639
715	11033.43401
716	11015.18584
717	10997.07473
718	10960.19571
719	10942.18201
720	10924.32212
721	10861.24394
722	10824.61677
723	10806.92772
724	10774.28384
725	10756.78674
726	10739.44088
727	10678.07542
728	10627.52902
729	10594.11112
730	10577.02604
731	10556.98337
732	10515.80959
733	10498.99882
734	10467.8858
735	10451.24154
736	10405.32048
737	10388.82256
738	10351.52384
739	10335.10381
740	10302.54579
741	10286.20986
742	10270.02389
743	10227.65953
744	10211.56417
745	10149.28665
746	10103.76436
747	10045.45962
748	10029.6042
749	9985.056205
750	9969.263914
751	9930.880165
752	9915.24917
753	9899.778641
754	9862.946122
755	9829.809214
756	9814.362423
757	9799.052122
758	9768.416668
759	9753.156692
760	9723.015137
761	9707.821966
762	9692.704307
763	9643.150769
764	9628.16932
765	9613.30079
766	9583.6161
767	9545.733345
768	9530.200403
769	9514.830063
770	9483.282999
771	9446.660246
772	9431.382283
773	9416.261393
774	9381.94791
775	9351.337629
776	9336.322518
777	9302.954964
778	9274.880089
779	9259.939703
780	9245.157766
781	9212.498972
782	9197.842457
783	9152.893835
784	9125.539511
785	9111.035515
786	9076.980793
787	9007.112519
788	8992.7085
789	8954.60632
790	8940.40004
791	8913.62327
792	8899.549278
793	8853.143071
794	8839.19762
795	8796.220463
796	8782.412345
797	8746.033288
798	8732.474503
799	8719.064083
800	8674.091781
801	8635.534418
802	8622.14628
803	8597.138334
804	8583.844789
805	8555.503901
806	8542.297209
807	8517.934723
808	8504.814052
809	8465.081303
810	8452.121189
811	8428.243093
812	8415.364273
813	8391.844167
814	8379.042155
815	8340.620952
816	8317.536467
817	8304.832621
818	8276.86019
819	8264.269629
820	8241.630402
821	8229.108098
822	8203.106495
823	8161.723422
824	8149.301012
825	8102.367538
826	8090.026875
827	8048.563493
828	8036.342279
829	8003.183694
830	7991.090998
831	7979.126386
832	7939.26715
833	7893.860938
834	7881.978511
835	7870.208692
836	7831.409638
837	7800.287968
838	7788.635531
839	7777.106287
840	7731.764057
841	7694.537305
842	7683.08635
843	7671.773258
844	7642.00318
845	7628.960933
846	7593.099408
847	7581.986054
848	7552.080892
849	7516.875532
850	7504.011789
851	7493.074921
852	7463.031843
853	7452.245486
854	7420.239766
855	7402.86447
856	7390.466566
857	7373.436597
858	7342.007726
859	7331.459689
860	7321.010759
861	7302.976415
862	7274.210016
863	7258.397893
864	7227.746449
865	7217.458951
866	7201.839477
867	7171.814246
868	7158.466726
869	7148.359531
870	7118.085427
871	7100.707329
872	7085.473263
873	7075.497849
874	7058.442001
875	7027.106219
876	6986.3241
877	6975.811434
878	6963.05177
879	6950.417836
880	6940.176258
881	6900.886581
882	6890.793966
883	6880.805053
884	6848.576917
885	6838.760167
886	6810.765614
887	6794.426063
888	6784.683215
889	6754.843758
890	6707.795401
891	6698.161622
892	6666.378171
893	6656.858127
894	6647.458776
895	6616.414961
896	6607.141321
897	6587.305165
898	6561.276466
899	6552.123866
900	6526.872139
901	6501.339058
902	6492.266275
903	6467.208427
904	6451.577638
905	6442.58885
906	6417.930232
907	6402.471581
908	6393.565491
909	6369.298764
910	6328.348179
911	6319.468665
912	6291.621724
913	6262.172846
914	6253.403504
915	6214.034445
916	6176.039237
917	6167.163664
918	6151.999491
919	6124.571801
920	6115.785994
921	6107.106584
922	6079.237275
923	6052.588117
924	6038.216049
925	6029.583829
926	6021.05014
927	6006.345055
928	5979.925476
929	5971.450686
930	5944.462512
931	5936.033405
932	5913.183141
933	5877.302799
934	5868.9303
935	5856.877668
936	5831.164561
937	5822.909602
938	5796.818578
939	5788.626781
940	5776.176238
941	5751.145104
942	5725.567772
943	5717.419292
944	5693.346103
945	5685.238115
946	5660.519025
947	5652.516612
948	5627.845779
949	5616.349811
950	5608.401979
951	5600.530222
952	5573.708505
953	5552.091653
954	5540.293076
955	5507.377249
956	5499.506646
957	5475.572742
958	5467.800778
959	5456.742116
960	5449.045013
961	5419.819486
962	5408.996207
963	5385.555646
964	5376.958472
965	5353.845842
966	5346.270312
967	5323.392155
968	5315.886005
969	5296.698215
970	5286.215975
971	5265.664408
972	5258.258765
973	5226.982025
974	5219.564972
975	5212.228801
976	5189.76474
977	5182.485459
978	5158.463854
979	5151.232231
980	5144.070675
981	5114.163179
982	5106.984493
983	5099.85656
984	5092.786018
985	5085.762507
986	5078.792508
987	5071.864439
988	5042.638204
989	5035.690344
990	5028.794436
991	5021.960224
992	5015.163754
993	5006.333305
994	4997.532831
995	4972.810452
996	4964.059299
997	4957.382352
998	4948.747469
999	4937.882796
